shipment_id,country_code,origin_region,destination_region,carrier_name,status,departure_time_local,departure_timezone,departure_time_utc,departure_dst,arrival_time_local,arrival_timezone,arrival_time_utc,arrival_dst,temperature_celsius,weight_kg,is_delayed,border_crossing,ts_arrival_before_departure,ts_duplicate_departure,ts_duplicate_arrival,region_origin_mismatch_country,region_dest_mismatch_country,is_delayed_status_inconsistent,border_crossing_inconsistent,key_field_empty,issue_count
NA-20260812-0007487,US,RI,HI,Northern Star Logistics,DELIVERED,2026-08-12T16:27:59,America/Denver,2026-08-12T22:27:59+00:00,True,2026-08-12T22:04:34,America/Phoenix,2026-08-13T05:04:34+00:00,False,15.2,8480.83,True,False,False,False,False,False,False,True,False,False,1
NA-20260812-0009096,US,SC,IN,Trans-Canada Haulers,IN_TRANSIT,2026-08-12T06:10:32,America/Vancouver,2026-08-12T13:10:32+00:00,True,2026-08-12T21:04:44,Pacific/Honolulu,2026-08-13T07:04:44+00:00,False,31.3,19224.32,False,False,False,False,True,False,False,False,False,False,1
NA-20260812-0000796,US,SC,MS,Gulf Coast Shipping,DELAYED,2026-08-12T02:18:04,America/St_Johns,2026-08-12T04:48:04+00:00,True,2026-08-12T16:57:14,America/Edmonton,2026-08-12T22:57:14+00:00,True,-5.1,12184.43,False,False,False,False,False,False,False,True,False,False,1
NA-20260812-0008947,CA,RI,IA,Trans-Canada Haulers,IN_TRANSIT,2026-08-12T17:53:27,America/Phoenix,2026-08-13T00:53:27+00:00,False,2026-08-12T03:02:34,America/Halifax,2026-08-12T06:02:34+00:00,True,5.7,14204.1,True,False,True,False,False,True,True,True,False,False,4
NA-20260812-0004726,CA,KY,ID,Midwest Carriers,DELIVERED,2026-08-12T13:33:56,America/Anchorage,2026-08-12T21:33:56+00:00,True,2026-08-12T23:07:40,America/Chicago,2026-08-13T04:07:40+00:00,True,40.6,2922.31,False,False,False,False,False,True,True,False,False,False,2
NA-20260812-0002699,CA,SK,NH,Midwest Carriers,DELIVERED,2026-08-12T08:19:52,America/Regina,2026-08-12T14:19:52+00:00,False,2026-08-12T23:55:57,America/Phoenix,2026-08-13T06:55:57+00:00,False,-15.9,12782.86,False,True,False,False,False,False,True,False,False,False,1
NA-20260812-0008536,CA,VA,MN,Trans-Canada Haulers,CUSTOMS_HOLD,2026-08-12T15:42:42,America/Toronto,2026-08-12T19:42:42+00:00,True,2026-08-12T11:10:06,America/Los_Angeles,2026-08-12T18:10:06+00:00,True,-29.0,23649.23,True,False,True,False,False,True,True,True,False,False,4
NA-20260812-0005595,US,NS,OR,Gulf Coast Shipping,IN_TRANSIT,2026-08-12T22:38:14,America/Halifax,2026-08-13T01:38:14+00:00,True,2026-08-12T22:12:44,Pacific/Honolulu,2026-08-13T08:12:44+00:00,False,35.1,19627.88,False,True,False,False,False,True,False,False,False,False,1
NA-20260812-0004744,US,CO,MN,Midwest Carriers,CUSTOMS_HOLD,2026-08-12T15:42:22,America/Vancouver,2026-08-12T22:42:22+00:00,True,2026-08-12T08:12:17,Pacific/Honolulu,2026-08-12T18:12:17+00:00,False,-0.0,14825.32,False,False,True,False,False,False,False,False,False,False,1
NA-20260812-0003115,CA,AZ,KS,PrairieLink Carriers,CUSTOMS_HOLD,2026-08-12T15:53:04,America/Halifax,2026-08-12T18:53:04+00:00,True,2026-08-12T12:50:05,America/Chicago,2026-08-12T17:50:05+00:00,True,17.4,17340.59,False,False,True,False,False,True,True,False,False,False,3
NA-20260812-0000213,US,BC,BC,Northern Star Logistics,DELAYED,2026-08-12T15:03:39,America/Halifax,2026-08-12T18:03:39+00:00,True,2026-08-12T05:08:54,America/St_Johns,2026-08-12T07:38:54+00:00,True,40.1,15048.8,False,False,True,False,False,True,True,True,False,False,4
NA-20260812-0011447,CA,SK,NU,BlueRoute Freight,IN_TRANSIT,2026-08-12T04:03:06,America/Halifax,2026-08-12T07:03:06+00:00,True,2026-08-12T13:35:15,Pacific/Honolulu,2026-08-12T23:35:15+00:00,False,10.3,5006.42,False,False,False,False,False,False,False,False,False,False,0
NA-20260812-0010013,US,SD,FL,Pacific Rim Express,IN_TRANSIT,2026-08-12T04:27:53,America/Chicago,2026-08-12T09:27:53+00:00,True,2026-08-12T15:21:59,America/Chicago,2026-08-12T20:21:59+00:00,True,14.6,20636.06,False,False,False,False,False,False,False,False,False,False,0
NA-20260812-0002226,US,TX,OH,Midwest Carriers,IN_TRANSIT,2026-08-12T02:46:02,America/Regina,2026-08-12T08:46:02+00:00,False,2026-08-12T17:31:25,America/Vancouver,2026-08-13T00:31:25+00:00,True,-17.3,8824.7,False,False,False,False,False,False,False,False,False,False,0
NA-20260812-0005619,US,UT,NM,Atlantic Bridge Transport,PICKED_UP,2026-08-12T20:48:21,America/Los_Angeles,2026-08-13T03:48:21+00:00,True,2026-08-12T10:46:05,America/Denver,2026-08-12T16:46:05+00:00,True,43.5,11544.05,False,False,True,False,False,False,False,False,False,False,1
NA-20260812-0003379,CA,MB,IN,Atlantic Bridge Transport,CUSTOMS_HOLD,2026-08-12T18:17:03,America/Regina,2026-08-13T00:17:03+00:00,False,2026-08-12T21:07:28,America/St_Johns,2026-08-12T23:37:28+00:00,True,-24.8,24566.41,True,True,True,False,False,False,True,True,False,False,3
NA-20260812-0005965,US,YT,CT,Pacific Rim Express,DELIVERED,2026-08-12T08:36:07,America/Los_Angeles,2026-08-12T15:36:07+00:00,True,2026-08-12T13:03:24,America/Regina,2026-08-12T19:03:24+00:00,False,11.9,15875.14,True,True,False,False,False,True,False,True,False,False,2
NA-20260812-0002881,CA,OK,NV,PrairieLink Carriers,CUSTOMS_HOLD,2026-08-12T00:28:46,America/Vancouver,2026-08-12T07:28:46+00:00,True,2026-08-12T09:46:34,America/Regina,2026-08-12T15:46:34+00:00,False,22.8,164.4,False,False,False,False,False,True,True,False,False,False,2
NA-20260812-0002255,CA,PA,SK,Trans-Canada Haulers,DELIVERED,2026-08-12T22:44:52,America/Edmonton,2026-08-13T04:44:52+00:00,True,2026-08-12T12:54:50,America/Edmonton,2026-08-12T18:54:50+00:00,True,-30.2,7116.1,False,True,True,False,False,True,False,False,False,False,2
NA-20260812-0008248,US,WV,VT,Rocky Mountain Movers,PICKED_UP,2026-08-12T08:48:40,America/Toronto,2026-08-12T12:48:40+00:00,True,2026-08-12T02:28:20,America/Phoenix,2026-08-12T09:28:20+00:00,False,-18.8,18245.34,False,False,True,False,False,False,False,False,False,False,1
NA-20260812-0009613,US,MO,FL,Trans-Canada Haulers,DELAYED,2026-08-12T17:42:29,America/Toronto,2026-08-12T21:42:29+00:00,True,2026-08-12T16:12:07,Pacific/Honolulu,2026-08-13T02:12:07+00:00,False,46.8,22550.15,False,False,False,False,False,False,False,True,False,False,1
NA-20260812-0005482,US,MD,NS,Gulf Coast Shipping,IN_TRANSIT,2026-08-12T01:23:53,America/New_York,2026-08-12T05:23:53+00:00,True,2026-08-12T07:05:39,America/Vancouver,2026-08-12T14:05:39+00:00,True,34.7,8641.1,False,True,False,False,False,False,True,False,False,False,1
NA-20260812-0006199,US,DC,NL,Rocky Mountain Movers,CUSTOMS_HOLD,2026-08-12T09:22:58,America/Anchorage,2026-08-12T17:22:58+00:00,True,2026-08-12T20:59:34,America/Anchorage,2026-08-13T04:59:34+00:00,True,-26.0,22274.95,False,True,False,False,False,False,True,False,False,False,1
NA-20260812-0001247,CA,FL,MO,Rocky Mountain Movers,IN_TRANSIT,2026-08-12T15:36:33,Pacific/Honolulu,2026-08-13T01:36:33+00:00,False,2026-08-12T14:12:15,America/Vancouver,2026-08-12T21:12:15+00:00,True,30.6,18690.1,False,False,True,False,False,True,True,False,False,False,3
NA-20260812-0007407,US,ON,YT,SwiftLine Freight,PICKED_UP,2026-08-12T16:50:13,America/Winnipeg,2026-08-12T21:50:13+00:00,True,2026-08-12T15:56:41,America/Chicago,2026-08-12T20:56:41+00:00,True,20.0,702.14,False,False,True,False,False,True,True,False,False,False,3
NA-20260812-0005330,US,MO,NT,PrairieLink Carriers,CUSTOMS_HOLD,2026-08-12T00:50:30,America/Regina,2026-08-12T06:50:30+00:00,False,2026-08-12T06:42:48,America/St_Johns,2026-08-12T09:12:48+00:00,True,33.1,4003.14,False,True,False,True,False,False,True,False,False,False,2
NA-20260812-0006487,US,VT,MD,Midwest Carriers,PICKED_UP,2026-08-12T02:47:00,America/Toronto,2026-08-12T06:47:00+00:00,True,2026-08-12T08:08:48,America/Edmonton,2026-08-12T14:08:48+00:00,True,-14.5,5061.86,True,False,False,False,False,False,False,True,False,False,1
NA-20260812-0009768,US,VA,IA,PrairieLink Carriers,CUSTOMS_HOLD,2026-08-12T02:42:04,America/Anchorage,2026-08-12T10:42:04+00:00,True,2026-08-12T19:48:12,America/Denver,2026-08-13T01:48:12+00:00,True,7.6,11164.06,False,False,False,False,False,False,False,False,False,False,0
NA-20260812-0000131,CA,HI,IL,Gulf Coast Shipping,IN_TRANSIT,2026-08-12T15:50:11,Pacific/Honolulu,2026-08-13T01:50:11+00:00,False,2026-08-12T11:04:07,America/Chicago,2026-08-12T16:04:07+00:00,True,18.2,9574.79,False,False,True,False,False,True,True,False,False,False,3
NA-20260812-0010294,CA,NU,WV,Gulf Coast Shipping,PICKED_UP,2026-08-12T03:34:27,America/New_York,2026-08-12T07:34:27+00:00,True,2026-08-12T22:48:48,America/Denver,2026-08-13T04:48:48+00:00,True,-20.1,9470.58,False,True,False,False,False,False,True,False,False,False,1
NA-20260812-0003361,US,NH,NB,Trans-Canada Haulers,DELIVERED,2026-08-12T23:46:22,America/Toronto,2026-08-13T03:46:22+00:00,True,2026-08-12T15:43:41,America/Vancouver,2026-08-12T22:43:41+00:00,True,-0.3,14632.0,False,True,True,False,False,False,True,False,False,False,2
NA-20260812-0004125,US,AL,QC,Trans-Canada Haulers,DELIVERED,2026-08-12T06:34:07,America/Denver,2026-08-12T12:34:07+00:00,True,2026-08-12T03:28:47,America/Vancouver,2026-08-12T10:28:47+00:00,True,-25.4,22113.9,False,True,True,True,False,False,True,False,False,False,3
NA-20260812-0005823,US,MD,NY,Rocky Mountain Movers,PICKED_UP,2026-08-12T16:35:27,America/Phoenix,2026-08-12T23:35:27+00:00,False,2026-08-12T16:33:53,America/St_Johns,2026-08-12T19:03:53+00:00,True,3.9,20891.7,False,False,True,False,False,False,False,False,False,False,1
NA-20260812-0007892,US,NC,DE,Pacific Rim Express,IN_TRANSIT,2026-08-12T22:12:42,America/Phoenix,2026-08-13T05:12:42+00:00,False,2026-08-12T23:15:10,America/St_Johns,2026-08-13T01:45:10+00:00,True,28.0,14383.44,True,False,True,False,False,False,False,True,False,False,2
NA-20260812-0001811,US,BC,NE,Pacific Rim Express,IN_TRANSIT,2026-08-12T22:40:39,America/Halifax,2026-08-13T01:40:39+00:00,True,2026-08-12T04:31:55,America/Regina,2026-08-12T10:31:55+00:00,False,35.6,20635.33,False,True,True,False,False,True,False,False,False,False,2
NA-20260812-0006702,US,WV,AL,Pacific Rim Express,DELAYED,2026-08-12T19:25:18,America/Denver,2026-08-13T01:25:18+00:00,True,2026-08-12T12:29:01,Pacific/Honolulu,2026-08-12T22:29:01+00:00,False,8.9,1475.61,False,False,True,False,False,False,False,True,False,False,2
NA-20260812-0005921,US,ME,MN,Midwest Carriers,DELIVERED,2026-08-12T15:05:28,Pacific/Honolulu,2026-08-13T01:05:28+00:00,False,2026-08-12T02:05:57,America/Edmonton,2026-08-12T08:05:57+00:00,True,40.5,10337.87,False,False,True,False,True,False,False,False,False,False,2
NA-20260812-0006236,US,MA,SC,Atlantic Bridge Transport,PICKED_UP,2026-08-12T19:50:22,America/Denver,2026-08-13T01:50:22+00:00,True,2026-08-12T13:44:25,America/Los_Angeles,2026-08-12T20:44:25+00:00,True,-28.2,13916.25,False,False,True,False,False,False,False,False,False,False,1
NA-20260812-0002942,US,PA,ND,Rocky Mountain Movers,IN_TRANSIT,2026-08-12T22:07:13,America/Anchorage,2026-08-13T06:07:13+00:00,True,2026-08-12T22:38:02,America/Vancouver,2026-08-13T05:38:02+00:00,True,-20.6,8924.53,False,False,True,False,True,False,False,False,False,False,2
NA-20260812-0004881,CA,NE,NC,SwiftLine Freight,DELIVERED,2026-08-12T09:16:49,America/Phoenix,2026-08-12T16:16:49+00:00,False,2026-08-12T11:50:08,America/Denver,2026-08-12T17:50:08+00:00,True,-29.1,18777.09,False,False,False,False,False,True,True,False,False,False,2
NA-20260812-0008058,CA,KS,WY,BlueRoute Freight,CUSTOMS_HOLD,2026-08-12T22:27:24,America/Los_Angeles,2026-08-13T05:27:24+00:00,True,2026-08-12T06:24:48,Pacific/Honolulu,2026-08-12T16:24:48+00:00,False,-17.2,4791.9,False,False,True,False,False,True,True,False,False,False,3
NA-20260812-0000648,CA,MO,NU,Gulf Coast Shipping,DELIVERED,2026-08-12T01:21:49,America/Regina,2026-08-12T07:21:49+00:00,False,2026-08-12T15:21:32,America/Toronto,2026-08-12T19:21:32+00:00,True,-16.5,4921.68,False,True,False,False,True,True,False,False,False,False,2
NA-20260812-0004826,US,LA,ON,Gulf Coast Shipping,DELIVERED,2026-08-12T20:38:31,America/Chicago,2026-08-13T01:38:31+00:00,True,2026-08-12T09:50:33,America/Denver,2026-08-12T15:50:33+00:00,True,43.2,12934.02,False,True,True,False,False,False,True,False,False,False,2
NA-20260812-0009839,CA,MB,ON,PrairieLink Carriers,CUSTOMS_HOLD,2026-08-12T18:44:26,America/Chicago,2026-08-12T23:44:26+00:00,True,2026-08-12T23:38:04,America/Edmonton,2026-08-13T05:38:04+00:00,True,-7.0,18725.92,False,False,False,False,False,False,False,False,False,False,0
NA-20260812-0010571,CA,NY,MB,Pacific Rim Express,IN_TRANSIT,2026-08-12T03:47:08,America/Denver,2026-08-12T09:47:08+00:00,True,2026-08-12T02:28:49,America/Edmonton,2026-08-12T08:28:49+00:00,True,3.9,24071.74,False,True,True,False,False,True,False,False,False,False,2
NA-20260812-0005184,US,SK,WV,Trans-Canada Haulers,DELAYED,2026-08-12T14:29:03,America/Anchorage,2026-08-12T22:29:03+00:00,True,2026-08-12T18:38:59,America/Edmonton,2026-08-13T00:38:59+00:00,True,-34.1,5132.98,False,True,False,False,False,True,False,True,False,False,2
NA-20260812-0004217,CA,WA,MN,Northern Star Logistics,DELAYED,2026-08-12T13:57:59,America/Chicago,2026-08-12T18:57:59+00:00,True,2026-08-12T14:19:24,America/Chicago,2026-08-12T19:19:24+00:00,True,-3.6,12623.84,False,False,False,False,False,True,True,True,False,False,3
NA-20260812-0004513,CA,MA,WA,Pacific Rim Express,PICKED_UP,2026-08-12T15:18:32,America/St_Johns,2026-08-12T17:48:32+00:00,True,2026-08-12T13:19:43,America/Edmonton,2026-08-12T19:19:43+00:00,True,33.9,6281.16,False,False,False,False,False,True,True,False,False,False,2
NA-20260812-0007026,CA,NJ,OR,Northern Star Logistics,IN_TRANSIT,2026-08-12T01:28:53,America/Toronto,2026-08-12T05:28:53+00:00,True,2026-08-12T00:00:24,America/St_Johns,2026-08-12T02:30:24+00:00,True,16.9,22219.17,False,False,True,True,False,True,True,False,False,False,4
NA-20260812-0009381,US,LA,NM,Atlantic Bridge Transport,DELAYED,2026-08-12T17:08:11,America/Halifax,2026-08-12T20:08:11+00:00,True,2026-08-12T10:33:41,America/Anchorage,2026-08-12T18:33:41+00:00,True,6.8,20844.87,False,False,True,True,False,False,False,True,False,False,3
NA-20260812-0008797,US,VT,VA,BlueRoute Freight,PICKED_UP,2026-08-12T07:17:12,America/Vancouver,2026-08-12T14:17:12+00:00,True,2026-08-12T05:15:02,America/Vancouver,2026-08-12T12:15:02+00:00,True,-4.4,18712.84,False,False,True,False,False,False,False,False,False,False,1
NA-20260812-0008466,US,NL,NH,PrairieLink Carriers,PICKED_UP,2026-08-12T05:31:39,America/New_York,2026-08-12T09:31:39+00:00,True,2026-08-12T19:29:20,America/Chicago,2026-08-13T00:29:20+00:00,True,-27.6,3269.46,False,True,False,False,False,True,False,False,False,False,1
NA-20260812-0008226,US,NB,SK,Atlantic Bridge Transport,IN_TRANSIT,2026-08-12T15:55:21,America/Vancouver,2026-08-12T22:55:21+00:00,True,2026-08-12T13:24:28,America/Phoenix,2026-08-12T20:24:28+00:00,False,-6.4,22685.57,False,False,True,False,False,True,True,False,False,False,3
NA-20260812-0004517,US,NY,MB,PrairieLink Carriers,DELAYED,2026-08-12T07:23:20,America/Toronto,2026-08-12T11:23:20+00:00,True,2026-08-12T00:33:43,Pacific/Honolulu,2026-08-12T10:33:43+00:00,False,-29.8,2245.79,False,True,True,False,False,False,True,True,False,False,3
NA-20260812-0004170,CA,NS,OH,Pacific Rim Express,IN_TRANSIT,2026-08-12T21:32:17,America/Anchorage,2026-08-13T05:32:17+00:00,True,2026-08-12T21:05:28,Pacific/Honolulu,2026-08-13T07:05:28+00:00,False,-25.7,15045.45,False,True,False,False,False,False,True,False,False,False,1
NA-20260812-0007600,US,QC,BC,Pacific Rim Express,PICKED_UP,2026-08-12T08:38:50,America/Phoenix,2026-08-12T15:38:50+00:00,False,2026-08-12T21:28:34,America/Phoenix,2026-08-13T04:28:34+00:00,False,-16.9,2804.61,False,False,False,False,False,True,True,False,False,False,2
NA-20260812-0007750,CA,VT,HI,Rocky Mountain Movers,DELAYED,2026-08-12T18:34:23,America/New_York,2026-08-12T22:34:23+00:00,True,2026-08-12T13:10:16,America/Vancouver,2026-08-12T20:10:16+00:00,True,-31.7,7141.83,False,False,True,False,False,True,True,True,False,False,4
NA-20260812-0000931,CA,IN,MS,Northern Star Logistics,DELIVERED,2026-08-12T02:13:20,America/Regina,2026-08-12T08:13:20+00:00,False,2026-08-12T21:08:03,America/Vancouver,2026-08-13T04:08:03+00:00,True,35.9,9243.82,False,False,False,False,False,True,True,False,False,False,2
NA-20260812-0001856,CA,ME,ME,Rocky Mountain Movers,DELIVERED,2026-08-12T16:32:59,America/Los_Angeles,2026-08-12T23:32:59+00:00,True,2026-08-12T00:21:35,America/Edmonton,2026-08-12T06:21:35+00:00,True,26.0,24635.49,False,False,True,False,True,True,True,False,False,False,4
NA-20260812-0010693,CA,NM,VT,Northern Star Logistics,DELAYED,2026-08-12T00:06:59,America/Regina,2026-08-12T06:06:59+00:00,False,2026-08-12T01:40:28,America/Toronto,2026-08-12T05:40:28+00:00,True,53.9,13934.21,False,False,True,False,False,True,True,True,False,False,4
NA-20260812-0009004,CA,MD,NB,SwiftLine Freight,DELAYED,2026-08-12T18:08:24,America/Toronto,2026-08-12T22:08:24+00:00,True,2026-08-12T05:18:36,America/Denver,2026-08-12T11:18:36+00:00,True,-8.5,5502.46,False,True,True,False,False,True,False,True,False,False,3
NA-20260812-0009845,CA,MA,IN,Midwest Carriers,DELIVERED,2026-08-12T22:49:47,America/Vancouver,2026-08-13T05:49:47+00:00,True,2026-08-12T11:30:24,America/Winnipeg,2026-08-12T16:30:24+00:00,True,51.7,13200.46,False,False,True,False,False,True,True,False,False,False,3
NA-20260812-0005954,US,SC,MB,Rocky Mountain Movers,DELAYED,2026-08-12T13:22:13,America/Toronto,2026-08-12T17:22:13+00:00,True,2026-08-12T03:25:48,America/Winnipeg,2026-08-12T08:25:48+00:00,True,50.0,4933.45,False,True,True,False,True,False,True,True,False,False,4
NA-20260812-0009012,US,WA,KY,Midwest Carriers,DELAYED,2026-08-12T12:24:14,America/New_York,2026-08-12T16:24:14+00:00,True,2026-08-12T23:26:08,America/New_York,2026-08-13T03:26:08+00:00,True,30.8,13228.34,False,False,False,False,False,False,False,True,False,False,1
NA-20260812-0001444,CA,MA,CT,Rocky Mountain Movers,IN_TRANSIT,2026-08-12T09:26:51,America/Anchorage,2026-08-12T17:26:51+00:00,True,2026-08-12T14:38:58,America/Regina,2026-08-12T20:38:58+00:00,False,-6.8,20836.14,False,False,False,True,True,True,True,False,False,False,4
NA-20260812-0008999,CA,MA,YT,Rocky Mountain Movers,PICKED_UP,2026-08-12T23:40:11,America/Vancouver,2026-08-13T06:40:11+00:00,True,2026-08-12T22:55:26,America/Anchorage,2026-08-13T06:55:26+00:00,True,49.5,13726.13,False,True,False,False,False,True,False,False,False,False,1
NA-20260812-0007932,CA,MD,OR,Northern Star Logistics,PICKED_UP,2026-08-12T01:18:21,America/Winnipeg,2026-08-12T06:18:21+00:00,True,2026-08-12T16:31:10,America/Anchorage,2026-08-13T00:31:10+00:00,True,10.3,15609.87,False,False,False,False,False,True,True,False,False,False,2
NA-20260812-0001917,US,MB,VA,SwiftLine Freight,PICKED_UP,2026-08-12T13:55:23,America/Edmonton,2026-08-12T19:55:23+00:00,True,2026-08-12T09:47:43,America/Los_Angeles,2026-08-12T16:47:43+00:00,True,-16.8,1525.36,True,True,True,False,False,True,False,True,False,False,3
NA-20260812-0002754,CA,SK,CT,Gulf Coast Shipping,PICKED_UP,2026-08-12T01:23:54,America/New_York,2026-08-12T05:23:54+00:00,True,2026-08-12T09:16:35,America/Vancouver,2026-08-12T16:16:35+00:00,True,-15.5,7412.64,False,True,False,False,False,False,True,False,False,False,1
NA-20260812-0001957,CA,CT,ND,PrairieLink Carriers,DELAYED,2026-08-12T10:05:06,America/Los_Angeles,2026-08-12T17:05:06+00:00,True,2026-08-12T23:34:30,America/St_Johns,2026-08-13T02:04:30+00:00,True,-24.4,5885.66,False,False,False,False,False,True,True,True,False,False,3
NA-20260812-0003880,US,WA,HI,Northern Star Logistics,DELAYED,2026-08-12T18:58:01,America/Los_Angeles,2026-08-13T01:58:01+00:00,True,2026-08-12T01:45:30,America/Denver,2026-08-12T07:45:30+00:00,True,39.0,10449.22,False,False,True,False,False,False,False,True,False,False,2
NA-20260812-0003890,US,KY,QC,SwiftLine Freight,PICKED_UP,2026-08-12T03:20:38,America/Halifax,2026-08-12T06:20:38+00:00,True,2026-08-12T03:01:02,America/Phoenix,2026-08-12T10:01:02+00:00,False,23.2,11182.21,True,True,False,False,False,False,True,True,False,False,2
NA-20260812-0000856,CA,TX,OK,Northern Star Logistics,IN_TRANSIT,2026-08-12T23:02:55,America/Winnipeg,2026-08-13T04:02:55+00:00,True,2026-08-12T20:55:11,America/New_York,2026-08-13T00:55:11+00:00,True,16.2,17084.05,False,False,True,False,False,True,True,False,False,False,3
NA-20260812-0010992,CA,MD,OK,PrairieLink Carriers,PICKED_UP,2026-08-12T21:49:31,America/Edmonton,2026-08-13T03:49:31+00:00,True,2026-08-12T10:11:52,America/Chicago,2026-08-12T15:11:52+00:00,True,29.7,4356.62,False,False,True,False,False,True,True,False,False,False,3
NA-20260812-0011414,US,NS,CT,Gulf Coast Shipping,PICKED_UP,2026-08-12T07:07:39,America/St_Johns,2026-08-12T09:37:39+00:00,True,2026-08-12T16:52:40,America/New_York,2026-08-12T20:52:40+00:00,True,37.2,15928.94,False,True,False,True,False,True,False,False,False,False,2
NA-20260812-0011448,CA,OR,IN,Midwest Carriers,CUSTOMS_HOLD,2026-08-12T22:10:49,America/Regina,2026-08-13T04:10:49+00:00,False,2026-08-12T22:11:15,America/St_Johns,2026-08-13T00:41:15+00:00,True,27.3,13038.48,True,False,True,False,False,True,True,True,False,False,4
NA-20260812-0000291,US,WY,WI,Rocky Mountain Movers,PICKED_UP,2026-08-12T00:54:23,America/Chicago,2026-08-12T05:54:23+00:00,True,2026-08-12T05:05:53,America/St_Johns,2026-08-12T07:35:53+00:00,True,-21.4,17733.41,False,False,False,True,False,False,False,False,False,False,1
